x	y	theta	v	delta	a	delta_dot
4.999999999998106	3.3587313066695703	1.570796326795506	0.340985837638911	-6.801976581123517e-14	0.07221608843754794	4.319313907726498e-14
4.999999999998099	3.370138663801722	1.570796326795499	0.34345559029749173	-6.664803535554593e-14	0.07409257975819897	4.115191367114049e-14
4.999999999998092	3.381629343395721	1.5707963267954923	0.34598518534972383	-6.531933375773578e-14	0.07588785156774669	3.9861047934739097e-14
4.999999999998085	3.393205297110999	1.5707963267954856	0.3485720375741375	-6.412545294153515e-14	0.07760556673319585	3.581642448643133e-14
4.999999999998078	3.4048683925995546	1.570796326795479	0.35121369174630473	-6.289095527532471e-14	0.0792496251658037	3.7034929986677455e-14
4.999999999998071	3.416620417925494	1.5707963267954723	0.35390782781706054	-6.163994584032894e-14	0.08082408212345818	3.7530283050240315e-14
4.999999999998064	3.4284630861182612	1.5707963267954657	0.356652263755852	-6.019584861452742e-14	0.08233307816452574	4.332291677440842e-14
4.999999999998057	3.4403980397874037	1.5707963267954592	0.3594449563993357	-5.862557700784552e-14	0.08378077930527977	4.710814820086209e-14
4.99999999999805	3.452426855737441	1.5707963267954526	0.3622840006094288	-5.730231759392499e-14	0.08517132630354822	3.9697782418042e-14
4.9999999999980425	3.4645510495309524	1.570796326795446	0.36516762700755556	-5.5868449770908717e-14	0.08650879194454436	4.3016034690833316e-14
4.999999999998035	3.4767720799563193	1.5707963267954397	0.3680941985205289	-5.4477386485354847e-14	0.08779714538991963	4.173189856697363e-14
4.999999999998028	3.489091353363983	1.5707963267954335	0.3710622059450855	-5.3118490031379807e-14	0.08904022273739154	4.076689361958027e-14
4.999999999998023	3.501510227841455	1.5707963267954275	0.3740702627087374	-5.194832885382009e-14	0.09024170291022032	3.5104835327095e-14
4.999999999998018	3.5140300172028	1.5707963267954217	0.37711709897720747	-5.067800079395745e-14	0.09140508805473242	3.810984179612396e-14
4.999999999998012	3.526651994773113	1.570796326795416	0.38020155524642946	-4.946095569859625e-14	0.09253368807724822	3.6511352861082254e-14
4.999999999998007	3.5393773969526188	1.5707963267954101	0.38332257552844484	-4.825434465304666e-14	0.0936306084610125	3.619833136670475e-14
4.999999999998002	3.552207426548371	1.5707963267954048	0.3864792002208023	-4.7320095339513367e-14	0.0946987407712292	2.8027479406193998e-14
4.999999999997996	3.565143255864407	1.5707963267953995	0.38967055874509515	-4.629317298041063e-14	0.09574075572924363	3.0807670773217774e-14
4.999999999997991	3.5781860295436596	1.5707963267953942	0.3928958620133919	-4.526008221881157e-14	0.09675909804931407	3.099272284810369e-14
4.999999999997986	3.591336867156706	1.5707963267953888	0.39615439477235587	-4.4348658511696554e-14	0.09775598276927783	2.7342711213565588e-14
4.99999999999798	3.60459686553405	1.5707963267953835	0.3994455078708166	-4.348345826636758e-14	0.09873339295413396	2.5956007359956297e-14
4.999999999997975	3.6179671008397514	1.5707963267953782	0.4027686104734065	-4.259176114819891e-14	0.09969307807796134	2.6750913545129305e-14
4.99999999999797	3.6314486303850786	1.5707963267953728	0.4061231622479652	-4.171781876868689e-14	0.10063655323697666	2.621827138541882e-14
4.999999999997964	3.645042494181483	1.5707963267953675	0.40950866553771187	-4.098303788085819e-14	0.10156509869257396	2.2043426634906604e-14
4.999999999997959	3.658749716232534	1.5707963267953622	0.412924657526446	-4.036513591573805e-14	0.10247975966216033	1.853705895363338e-14
4.999999999997954	3.672571305564668	1.5707963267953569	0.41637070240241064	-3.9609286939346034e-14	0.10338134627904277	2.2675469291779113e-14
4.999999999997948	3.6865082569966168	1.5707963267953515	0.4198463835152594	-3.9053530717301045e-14	0.1042704333855497	1.6672686661369013e-14
